"title_data","paper_id","source","type","year","author1_data","keyword"
"A New Approach to Identify Breakout Zones in Tight Gas Shale","          142019-MS ","          SPE ","          Conference Paper",2011,"Soroush, Hamed, Weatherford Oil Tool ME Ltd","'machine+learning'AND'production'"
"Is the U.S. Fuels Infrastructure Resilient? An Examination of Natural Disaster Vulnerabilities","          190110-MS ","          SPE ","          Conference Paper",2018,"Mohan, H., INTEK Inc.","'machine+learning'AND'production'"
"Digital Revolution: How Digital Technologies Will Transform E&P Business Models in Asia-Pacific","          187027-MS ","          SPE ","          Conference Paper",2017,"Volkenborn, Arnold, Accenture Strategy Energy","'machine+learning'AND'production'"
"Gaussian Process for Uncertainty Quantification of Reservoir Models","          176074-MS ","          SPE ","          Conference Paper",2015,"Hamdi, Hamidreza, University of Calgary","'machine+learning'AND'production'"
"Developing a Smart Proxy for the SACROC Water-Flooding Numerical Reservoir Simulation Model","          185691-MS ","          SPE ","          Conference Paper",2017,"Alenezi, Faisal, West Virginia University","'machine+learning'AND'production'"
"Principles of Big Data Algorithms and Application for Unconventional Oil and Gas Resources","          172982-MS ","          SPE ","          Conference Paper",2014,"Lin, Avi, Halliburton","'machine+learning'AND'production'"
"Norwegian Open Source P&A Database","          180027-MS ","          SPE ","          Conference Paper",2016,"Myrseth, Velaug, SINTEF Petroleum Research","'machine+learning'AND'production'"
"Using Least Square Support Vector Machines to Approximate Single Phase Flow","          185881-MS ","          SPE ","          Conference Paper",2017,"Zhong, He, University of Calgary","'machine+learning'AND'production'"
"A Novel Approach to Identify Reservoir Analogues","          78338-MS ","          SPE ","          Conference Paper",2002,"Bhushan, Vikas, Shell International Exploration and Production","'machine+learning'AND'production'"
"Research and Application of Electric Power Curve Inversing Dynamometer Diagram Technology Using Big Data Approach","          189200-MS ","          SPE ","          Conference Paper",2017,"Zhang, Xishun, RIPED CNPC","'machine+learning'AND'production'"
"Applying Big Data Analytics to Detect, Diagnose, and Prevent Impending Failures in Electric Submersible Pumps","          181510-MS ","          SPE ","          Conference Paper",2016,"Gupta, Supriya, Frontender Corporation","'machine+learning'AND'production'"
"A New Approach to Reservoir Characterization Using Deep Learning Neural Networks","          180359-MS ","          SPE ","          Conference Paper",2016,"Korjani, M., University of Southern California","'machine+learning'AND'production'"
"Using Data-Driven Technologies to Accelerate the Field Development Planning Process for Mature Field Rejuvenation","          185751-MS ","          SPE ","          Conference Paper",2017,"Brown, Jeremy B., Quantum Reservoir Impact International LLC","'machine+learning'AND'production'"
"Integration of Data-Driven Models for Characterizing Shale Barrier Configuration in 3D Heterogeneous Reservoirs for SAGD Operations","          189735-MS ","          SPE ","          Conference Paper",2018,"Ma, Zhiwei, University of Alberta","'machine+learning'AND'production'"
"Modelling and Optimization Technologies - A Competitive Edge in Hydrocarbon Recovery","          22-2708 ","          WPC ","          Conference Paper",2017,"Kleibergen, Rob, Shell","'machine+learning'AND'production'"
"Hyperbolic Decline Parameter Identification Using Optimization Procedures","          65634-MS ","          SPE ","          Conference Paper",2000,"Jikich, Sinisha A., National Energy Technology Laboratory/EG&G","'machine+learning'AND'production'"
"Systematic Root-Cause Analysis of Three Major Offshore Oil and Gas Drilling Accidents Using the AcciMap Methodology","          190133-MS ","          SPE ","          Conference Paper",2018,"Tabibzadeh, Maryam, California State University Northridge","'machine+learning'AND'production'"
"Decision Support and Workflow Automation for the Development and Management of Hydrocarbon Assets Using Multi-Agent Systems","          150285-MS ","          SPE ","          Conference Paper",2012,"El-bakry, Amr, ExxonMobil Production Company","'machine+learning'AND'production'"
"Neural-Network based Sensitivity Analysis for Injector-Producer Relationship Identification","          112124-MS ","          SPE ","          Conference Paper",2008,"Demiryurek, Ugur,","'machine+learning'AND'production'"
"Optimizing Unconventional Completions - An Integrated Approach","          183307-MS ","          SPE ","          Conference Paper",2016,"Fulks, Robert, Weatherford","'machine+learning'AND'production'"
"A Practical Workflow for Probabilistic History Matching and Forecast Uncertainty Quantification: Application to a Deepwater West Africa Reservoir","          181639-MS ","          SPE ","          Conference Paper",2016,"Yeh, T., Shell International E&P","'machine+learning'AND'production'"
"Multi-Objective Optimization with Application to Model Validation and Uncertainty Quantification","          105313-MS ","          SPE ","          Conference Paper",2007,"Schulze-Riegert, Ralf Wolfgang, Scandpower GmbH","'machine+learning'AND'production'"
"Effective Applications of Extended Exponential Decline Curve Analysis to both Conventional and Unconventional Reservoirs","          181536-MS ","          SPE ","          Conference Paper",2016,"Zhang, HE, Ryder Scott Company","'machine+learning'AND'production'"
"A SMART Framework for Contextualization of Drilling Data for Supporting Drilling Workflows","          181682-MS ","          SPE ","          Conference Paper",2016,"Arumugam, Sethupathi, Infosys Ltd.","'machine+learning'AND'production'"
"Optimizing the Selection of Lateral Re-Entry Wells through Data-Driven Analytics","          170702-MS ","          SPE ","          Conference Paper",2014,"Popa, Andrei Sergiu, Chevron Corporation","'machine+learning'AND'production'"
"Importance of Using Pressure Data While History Matching a Waterflooding Process","          132347-MS ","          SPE ","          Conference Paper",2010,"Barroeta, Rafael G., SPT Group Inc","'machine+learning'AND'production'"
"The Use of Genetic Algorithms as an Optimization Tool for Predicting Permeability Alteration in Formation Damage and Improvement Modelling","          2001-052 ","          PETSOC ","          Conference Paper",2001,"Erbas, D., Middle East Technical University","'machine+learning'AND'production'"
"A Cost/Benefit Review of Completion Choices in the Williston Basin Using a Hybrid Physics-Based Modeling/Multi-Variate Analysis Approach","          187254-MS ","          SPE ","          Conference Paper",2017,"Mayerhofer, Michael, Liberty Oilfield Services","'machine+learning'AND'production'"
"Optimization of Unconventional Well-Pad Area Using Reservoir Simulation and Intelligent Sequential Sampling","          2673695-MS ","          URTEC ","          Conference Paper",2017,"Robertson, Eric, GE Oil and Gas Technology Center","'machine+learning'AND'production'"
"Maximum Autocorrelation Factors Applied to Electrofacies Classification","          2010-1560 ","          SEG ","          Conference Paper",2010,"Drummond, Sergey Duarte, Institute of Geosciences, University of Campinas","'machine+learning'AND'production'"
"Prediction of Poisson's Ratio and Young's Modulus for Hydrocarbon Reservoirs Using Alternating Conditional Expectation Algorithm","          138841-MS ","          SPE ","          Conference Paper",2011,"Al-anazi, Bandar Duraya, King Abdulaziz City for Science and Technology","'machine+learning'AND'production'"
"Shale Oil Play Exploration Delineation Using Rock Mechanics Template and Seismic Inversion Data. Vaca Muerta Formation, Neuquén Basin, Argentina","          2190705-MS ","          URTEC ","          Conference Paper",2015,"Soldo, Juan, YPF S.A.","'machine+learning'AND'production'"
"Rapid S-Curve Update Using Ensemble Variance Analysis with Model Validation","          185630-MS ","          SPE ","          Conference Paper",2017,"He, Jincong, Chevron Energy Technology Company","'machine+learning'AND'production'"
"A Critical Overview of Artificial Neural Network Applications in the Context of Continuous Oil Field Optimization","          77703-MS ","          SPE ","          Conference Paper",2002,"Saputelli, L., PDVSA","'machine+learning'AND'production'"
"Bayesian Algorithm Opens Way to Wellbore Stability","          14141-MS ","          IPTC ","          Conference Paper",2011,"Soroush, Hamed, Weatherford","'machine+learning'AND'production'"
"Event-driven Information Integration for the Digital Oilfield","          159835-MS ","          SPE ","          Conference Paper",2012,"Patri, Om Prasad, University of Southern California","'machine+learning'AND'production'"
"Enabling Real-Time Distributed Sensor Data for Broader Use by the Big Data Infrastructures","          181056-MS ","          SPE ","          Conference Paper",2016,"Yang, Don, Baker Hughes Incorporated","'machine+learning'AND'production'"
"Pressure Drop Due to Multiphase Flow Using Four Artificial Intelligence Methods","          175724-MS ","          SPE ","          Conference Paper",2015,"Attia, M., KFUPM","'machine+learning'AND'production'"
"Sensitivity Analysis for Solar-Generated Steam for Enhanced Oil Recovery","          190075-MS ","          SPE ","          Conference Paper",2018,"Roig, R., Texas Tech University","'machine+learning'AND'production'"
"Unconventional Risk and Uncertainty: Show Me What Success Looks Like","          179996-MS ","          SPE ","          Conference Paper",2016,"Fulford, David S., Apache Corporation","'machine+learning'AND'production'"
"Integrated Global Optimization of Displacement Efficiency in Hydrocarbon Reservoirs","          81035-MS ","          SPE ","          Conference Paper",2003,"Yang, Daoyong, University of Regina","'machine+learning'AND'production'"
"Fact-Based Re-Frac Candidate Selection and Design in Shale - A Case Study in Application of Data Analytics","          2433427-MS ","          URTEC ","          Conference Paper",2016,"Mohaghegh, Shahab D., Intelligent Solutions, Inc. & West Virginia University","'machine+learning'AND'production'"
"Technical Potential: A Highly Effective Tool for National Oil Companies to Drive and Manage Business Plans – A Real Case Study at PETRONAS Malaysia","          187429-MS ","          SPE ","          Conference Paper",2017,"Gupta, Vipin Prakash, PETRONAS","'machine+learning'AND'production'"
"Maximizing Information through Data Driven Analytics in Petrophysical Evaluation of Well Logs","          174735-MS ","          SPE ","          Conference Paper",2015,"Jain, Vikas, Schlumberger","'machine+learning'AND'production'"
"Optimization of Bakken Well Completions in a Multivariate World","          189868-MS ","          SPE ","          Conference Paper",2018,"Scanlan, W. P., Keane Group","'machine+learning'AND'production'"
"Reservoir Characterization Using Fuzzy Kriging and Deep Learning Neural Networks","          181578-MS ","          SPE ","          Conference Paper",2016,"Korjani, M. M., University of Southern California","'machine+learning'AND'production'"
"Identifying Technical And Economic EOR Potential Under Conditions Of Limited Information And Time Constraints","          94682-MS ","          SPE ","          Conference Paper",2005,"Manrique, Eduardo Jose, Florida International U","'machine+learning'AND'production'"
"Optimization Methods for History Matching of Complex Reservoirs","          66393-MS ","          SPE ","          Conference Paper",2001,"Schulze-Riegert, R.W., Scandpower","'machine+learning'AND'production'"
"The use of a genetic algorithm for the optimal design of microseismic monitoring networks","          28104-MS ","          SPE ","          Conference Paper",1994,"Jones, Robert H., CSMA Ltd.","'machine+learning'AND'production'"
"Smart Alarming for Intelligent Surveillance of Electrical Submersible Pump Systems","          187079-MS ","          SPE ","          Conference Paper",2017,"Adesanwo, Moradeyo, Baker Hughes Incorporated","'machine+learning'AND'production'"
"A Novel Bayesian Optimization Framework for Computationally Expensive Optimization Problem in Tight Oil Reservoirs","          187284-MS ","          SPE ","          Conference Paper",2017,"Wang, Shuhua, University of Calgary","'machine+learning'AND'production'"
"Improved Oil Recovery Methods: Applicability Screening and Potential Evaluation","          134742-MS ","          SPE ","          Conference Paper",2010,"Surguchev, Leonid M., Intl Research Inst of Stavanger","'machine+learning'AND'production'"
"Short-Term and Long-Term Optimizations for Reservoir Management with Intelligent Wells","          177255-MS ","          SPE ","          Conference Paper",2015,"Pinto, Marcio Augusto Sampaio, Santa Catarina State University","'machine+learning'AND'production'"
"Prediction of Toxicity Effects of Oil Field Chemicals Using Adaptive Genetic Neuro-Fuzzy Inference Systems","          190039-MS ","          SPE ","          Conference Paper",2018,"Ibrahim, H. D., Raw Materials Research and Development Council","'machine+learning'AND'production'"
"A Comparison Study of Utilizing Optimization Algorithms and Fuzzy Logic for Candidate-Well Selection","          176330-MS ","          SPE ","          Conference Paper",2015,"Xiao, Yong, State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation, Southwest Petroleum University","'machine+learning'AND'production'"
"Using Deep Learning and Computer Vision Techniques to Improve Facility Corrosion Risk Management Systems","          190036-MS ","          SPE ","          Conference Paper",2018,"Ejimuda, C. C., Hybrid Data Solutions","'machine+learning'AND'production'"
"Using a Cognitive Analytic Approach to Enhance Cybersecurity on Oil and Gas OT Systems","          27895-MS ","          OTC ","          Conference Paper",2017,"Rosner, M., SparkCognition","'machine+learning'AND'production'"
"Analysis of Compositions of Flowback Water from Marcellus Shale Wells by Utilizing Data Mining Techniques","          187519-MS ","          SPE ","          Conference Paper",2017,"Pan, Yuewei, Texas A&M University","'machine+learning'AND'production'"
"Knowledge Discovery in Databases and Multiphase Flow Metering: The Integration of Statistics, Data Mining, Neural Networks, Fuzzy Logic, and Ad Hoc Flow Measurements Towards Well Monitoring and Diagno…","          77407-MS ","          SPE ","          Conference Paper",2002,"Alimonti, C., University of Rome ""La Sapienza""","'machine+learning'AND'production'"
"Indirect Estimation of Fluid Transport and Rock Mechanical Properties from Elemental Compositions: Implications for ""Sweet Spot"" Identification in the Montney Formation (Canada)","          2670893-MS ","          URTEC ","          Conference Paper",2017,"Ghanizadeh, Amin, University of Calgary","'machine+learning'AND'production'"
"Waterflood Pattern Optimization Using Genetic Algorithms with Multi-tank Material Balance","          90259-MS ","          SPE ","          Conference Paper",2004,"Zangl, G., Schlumberger Information Solutions","'machine+learning'AND'production'"
"Predicting Waterflood Responses With Decision Trees","          2002-028 ","          PETSOC ","          Conference Paper",2002,"Fedenczuk, L., Gambit Consulting Ltd.","'machine+learning'AND'production'"
"A New History Matching Sensitivity Analysis Framework with Random Forests and Plackett-Burman Design","          189265-MS ","          SPE ","          Conference Paper",2017,"Aulia, Akmal, Universiti Teknologi PETRONAS","'machine+learning'AND'production'"
"Achieving Excellence in E&P Offshore Logistics","          150396-MS ","          SPE ","          Conference Paper",2012,"Favilla, Jose R., IBM","'machine+learning'AND'production'"
"Data-Driven Metric Learning for History Matching","          182683-MS ","          SPE ","          Conference Paper",2017,"Miller, Jacob, University of California, Davis","'machine+learning'AND'production'"
"From Face Detection to Fractured Reservoir Characterization: Big Data Analytics for Restimulation Candidate Selection","          187328-MS ","          SPE ","          Conference Paper",2017,"Udegbe, Egbadon, The Pennsylvania State University","'machine+learning'AND'production'"
"Pure and Coupled Drill String Vibration Pattern Recognition in High Frequency Downhole Data","          170955-MS ","          SPE ","          Conference Paper",2014,"Baumgartner, Theresa, University of Texas at Austin","'machine+learning'AND'production'"
"A Discussion on the Impact of Information Technology on the Capital Investment Decision Process in the Petroleum Industry","          71420-MS ","          SPE ","          Conference Paper",2001,"Back, Michael J., Merak Schlumberger","'machine+learning'AND'production'"
"Proxy-Based Metamodeling Optimization of the Gas-Assisted Gravity Drainage GAGD Process in Heterogeneous Sandstone Reservoirs","          185701-MS ","          SPE ","          Conference Paper",2017,"Al-Mudhafar, Watheq J., Louisiana State University","'machine+learning'AND'production'"
"A New Bayesian Approach for Analogs Evaluation in Advanced EOR Screening","          174315-MS ","          SPE ","          Conference Paper",2015,"Siena, Martina, Politecnico di Milano and University of Arizona","'machine+learning'AND'production'"
"A Modified Genetic Algorithm for Reservoir Characterisation","          64765-MS ","          SPE ","          Conference Paper",2000,"Romero, C.E., Imperial College","'machine+learning'AND'production'"
"Efficient Use of Methods, Attributes, and Case-Based Reasoning Algorithms in Reservoir Analogue Techniques in Field Development","          163700-MS ","          SPE ","          Conference Paper",2013,"Dursun, Serkan, Halliburton Intl. Inc.","'machine+learning'AND'production'"
"Applied Geostatistical Reservoir Characterization in R: Review and Implementation of Rock Facies Classification and Prediction Algorithms-Part I","          26947-MS ","          OTC ","          Conference Paper",2016,"Al-Mudhafar, Watheq J., Louisiana State University","'machine+learning'AND'production'"
"Self-Learning Probabilistic Detection and Alerting of Drillstring Washout and Pump Failure Incidents During Drilling Operations","          189700-MS ","          SPE ","          Conference Paper",2018,"Ambrus, A., Intellicess Inc.","'machine+learning'AND'production'"
"Advanced Analytics for Data-Driven Decision Making in Electrical Submersible Pump Operations Management","          189119-MS ","          SPE ","          Conference Paper",2017,"Adesanwo, Moradeyo, Baker Hughes Incorporated, USA","'machine+learning'AND'production'"
"Addressing the Health Risks of Silica Cement: A Custom Solution for Norway","          180016-MS ","          SPE ","          Conference Paper",2016,"Johnson, Carl R., Schlumberger","'machine+learning'AND'production'"
"Dynamic Layered Pressure Map Generation in a Mature Waterflooding Reservoir Using Artificial Intelligence Approach","          190042-MS ","          SPE ","          Conference Paper",2018,"Li, Yuanjun, University of Southern California","'machine+learning'AND'production'"
"Case Study: Enhancing PCP Performance through the Complex Failure Analysis of more than 200 Wells","          189732-MS ","          SPE ","          Conference Paper",2018,"Nurkas, Zhassulan, Manul LLP","'machine+learning'AND'production'"
"Achieving A 10-Year ESP Run Life","          185149-MS ","          SPE ","          Conference Paper",2017,"Lastra, Rafael, Saudi Aramco","'machine+learning'AND'production'"
"Applying Support Vector Regression to Reduce the Effect of Numerical Noise and Enhance the Performance of History Matching","          187430-MS ","          SPE ","          Conference Paper",2017,"Guo, Zhenyu, Shell International Exploration and Production Inc.","'machine+learning'AND'production'"
"Bayesian History-Matching and Probabilistic Forecasting for Tight and Shale Wells","          185082-MS ","          SPE ","          Conference Paper",2017,"Hamdi, Hamidreza, University of Calgary","'machine+learning'AND'production'"
"Improved Geological Model Calibration Through Sparsity-Promoting Ensemble Kalman Filter","          27284-MS ","          OTC ","          Conference Paper",2016,"Tarrahi, Mohammadali, Shell Global Solutions (US), Inc","'machine+learning'AND'production'"
"A Novel Viscosity Reduction Plant-Based Diluent for Heavy and Extra-Heavy Oil","          179523-MS ","          SPE ","          Conference Paper",2016,"Afra, Salar, Texas A&M University","'machine+learning'AND'production'"
"Logging-While-Drilling Dipole Shear Logging in Fast Formations Using Higher-Order Formation Flexural Mode","          2017-Y ","          SPWLA ","          Conference Paper",2017,"Wang, Pu, Schlumberger","'machine+learning'AND'production'"
"An Integrated Reservoir Modelling and Evolutionary Algorithm for Optimizing Field Development in a Mature Fractured Reservoir","          183178-MS ","          SPE ","          Conference Paper",2016,"Sambo, C. H., Research of Petroleum Institute","'machine+learning'AND'production'"
"Predicting Waterflood Responses for Pekisko B.","          2006-201 ","          PETSOC ","          Conference Paper",2006,"Fedenczuk, L., Gambit Consulting Ltd.","'machine+learning'AND'production'"
"Cyclic Steam Injection Modeling and Optimization for Candidate Selection, Steam Volume Optimization, and SOR Minimization, Powered by Unique, Fast, Modeling and Data Assimilation Algorithms","          185747-MS ","          SPE ","          Conference Paper",2017,"Sarma, Pallav, Tachyus Inc.","'machine+learning'AND'production'"
"A Discussion on the Effect of International Fiscal Regimes on Portfolio Selection in the Petroleum Industry","          82011-MS ","          SPE ","          Conference Paper",2003,"Back, Michael J., Schlumberger Information Solutions","'machine+learning'AND'production'"
"Using Data Analytics on Dimensionless Numbers to Predict the Ultimate Recovery Factors for Different Drive Mechanisms of Gulf of Mexico Oil Fields","          187269-MS ","          SPE ","          Conference Paper",2017,"Talluru, Gowtham, Mewbourne School of Petroleum and Geological Engineering, University of Oklahoma","'machine+learning'AND'production'"
"Real-time In-situ Seismic Imaging: Overview and Case Study","          2015-5833447 ","          SEG ","          Conference Paper",2015,"Song, WenZhan, Georgia State University; Intelligent Dots LLC","'machine+learning'AND'production'"
"Reduced Order Modeling In Reservoir Simulation Using the Bilinear Approximation Techniques","          169357-MS ","          SPE ","          Conference Paper",2014,"Ghasemi, Mohammadreza, SPE","'machine+learning'AND'production'"
"Optimization of Multilateral Well Design and Location in a Real Field Using a Continuous Genetic Algorithm","          136944-MS ","          SPE ","          Conference Paper",2010,"Bukhamsin, Ahmed Y., Saudi Aramco/Stanford University","'machine+learning'AND'production'"
"Analysis of Data from the Barnett Shale Using Conventional Statistical and Virtual Intelligence Techniques","          127919-MS ","          SPE ","          Conference Paper",2010,"Awoleke, Obadare Olusegun, Texas A&M U.","'machine+learning'AND'production'"
"Calibrating Multi-Point Geostatistical Models Using Pressure Transient Data","          180163-MS ","          SPE ","          Conference Paper",2016,"Hamdi, Hamidreza, University of Calgary","'machine+learning'AND'production'"
"A Surrogate-based Adaptive Sampling Approach for History Matching and Uncertainty Quantification","          173298-MS ","          SPE ","          Conference Paper",2015,"Li, Weixuan, Pacific Northwest National Laboratory","'machine+learning'AND'production'"
"Integrated Gas Development Planning in Southern Iraq","          181521-MS ","          SPE ","          Conference Paper",2016,"Karnik, Amit A, Shell Exploration & Production International","'machine+learning'AND'production'"
"Systematic Use of Real Time Data Analysis for Primary Cementing and Cement Job Verification","          27557-MS ","          OTC ","          Conference Paper",2017,"Gomes, Paulo J., BP","'machine+learning'AND'production'"
"Data Management Requirements for Supporting Digital Energy Initiatives","          181572-MS ","          SPE ","          Conference Paper",2016,"Kozman, Jess B., CLTech Consulting Pte Ltd","'machine+learning'AND'production'"
"A Data Mining Approach to Model Portfolios Oil Assets at High Risk","          26104-MS ","          OTC ","          Conference Paper",2015,"Cervantes Bravo, R., Universidad de Buenos Aires","'machine+learning'AND'production'"
"Evaluation of Enhanced Oil Recovery Technologies for the Sabriyah Lower Burgan Reservoir Kuwait","          186026-MS ","          SPE ","          Conference Paper",2017,"Al-Murayri, M. T., Kuwait Oil Company","'machine+learning'AND'production'"
"On the Effect of Managed Ice Field Parameters on Global Surge Force of a DP Vessel","          I-17-677 ","          ISOPE ","          Conference Paper",2017,"Islam, Mohammed, Ocean Coastal and River Engineering, National Research Council","'machine+learning'AND'production'"
"Reservoir Geostatistical Estimation of Imprecise Information Using Fuzzy Kriging Approach","          190051-MS ","          SPE ","          Conference Paper",2018,"Zhao, X., University of Southern California","'machine+learning'AND'production'"
"A Framework-Oriented Approach for Determining Attribute Importance When Building Effective Predictive Models for Oil and Gas Data Analytics","          166304-MS ","          SPE ","          Conference Paper",2013,"Dursun, Serkan, Halliburton","'machine+learning'AND'production'"
"Portfolio Optimization Techniques for the Energy Industry","          82012-MS ","          SPE ","          Conference Paper",2003,"Lessard, Rodney W., Schlumberger Information Solutions","'machine+learning'AND'production'"
"A Fast and Robust Compositional, Multi-Phase, Non-Isothermal Wellbore Hydraulics Model for Vertical Wells","          187072-MS ","          SPE ","          Conference Paper",2017,"Putcha, V. B., Pennsylvania State University","'machine+learning'AND'production'"
"Bringing Excellence in Asset Management through Streamlined Automated Reporting & KPI Tracking System","          182495-MS ","          SPE ","          Conference Paper",2016,"Ahmad, Zul Izzi B, PETRONAS Carigali Sdn Bhd","'machine+learning'AND'production'"
"Integrating Designed Simulations for Bayesian Identification of Geological Controls on the Performance of a Multilayer Heterogeneous Sandstone Oil Reservoir: Applied on the CO2-Assisted Gravity Draina…","          190109-MS ","          SPE ","          Conference Paper",2018,"Al-Mudhafar, Watheq J., Louisiana State University","'machine+learning'AND'production'"
"Geologically Consistent History Matching of a Deepwater Turbidite Reservoir","          95557-MS ","          SPE ","          Conference Paper",2005,"Hoffman, B. Todd,","'machine+learning'AND'production'"
"How Can Integrated Operation Contribute to Improve the Efficiency on the Norwegian Continental Shelf?","          180014-MS ","          SPE ","          Conference Paper",2016,"Kaland, T., University of Bergen","'machine+learning'AND'production'"
"A Robust Surveillance and Optimization Workflow for Offshore Gas Lifted Wells","          188506-MS ","          SPE ","          Conference Paper",2017,"Xiao, Feng, ExxonMobil Upstream Research Company","'machine+learning'AND'production'"
"Optimization of Submarine Pipeline Routes Considering Slope Stability","          25711-MS ","          OTC ","          Conference Paper",2015,"Rocha, Djalene Maria, Petrobras","'machine+learning'AND'production'"
"A Pulsed Neutron Comparison Between an Open and Casedhole Well: An Alaskan Case Study","          190062-MS ","          SPE ","          Conference Paper",2018,"Burt, J., Schlumberger","'machine+learning'AND'production'"
"Applying Statistical Learning to Quantitative Well Log Analysis","          186044-MS ","          SPE ","          Conference Paper",2017,"Bergman, Doron L., Tachyus Inc.","'machine+learning'AND'production'"
"Real-Time Drilling Optimization and Rig Activity-Based Models Deliver Best-In-Class Drilling Performance: Case History","          184744-MS ","          SPE ","          Conference Paper",2017,"Kumar, Dev, Weatherford","'machine+learning'AND'production'"
"Increasing Quality in QHSE Work Processes by Introdusing a Common Platform for the Industry","          180004-MS ","          SPE ","          Conference Paper",2016,"Holst, Jens Christian, AGR","'machine+learning'AND'production'"
"The use of Neuro-Fuzzy proxy in well placement optimization","          112214-MS ","          SPE ","          Conference Paper",2008,"Zarei, Faraj, Amir-Kabir U of Technology","'machine+learning'AND'production'"
"Lessons Learned in Drilling Fluids Projects during MPD and MCD Operations in Brazil's Offshore Wells","          185277-MS ","          SPE ","          Conference Paper",2017,"Teixeira, G. T., Petrobras","'machine+learning'AND'production'"
"Failure Prediction for Artificial Lift Systems","          133545-MS ","          SPE ","          Conference Paper",2010,"Liu, Y., Information Sciences Institute","'machine+learning'AND'production'"
"Next Generation Downhole Big Data Platform for Dynamic Data-Driven Well and Reservoir Management","          186033-MS ","          SPE ","          Conference Paper",2017,"Bello, Oladele, Baker Hughes Incorporated","'machine+learning'AND'production'"
"Reservoir Modelling with Feature Selection: Kernel Learning Approach","          141510-MS ","          SPE ","          Conference Paper",2011,"Demyanov, Vasily, Heriot Watt University","'machine+learning'AND'production'"
"Reservoir Simulation Assisted History Matching: From Theory to Design","          182808-MS ","          SPE ","          Conference Paper",2016,"Shams, M., Amal Petroleum Company","'machine+learning'AND'production'"
"Artificial Intelligence Application in Reservoir Characterization and Modeling: Whitening the Black Box","          155413-MS ","          SPE ","          Conference Paper",2011,"Anifowose, Fatai Adesina, King Fahd University of Petroleum and Minerals","'machine+learning'AND'production'"
"State-of-the-Art Application of Artificial Intelligence and Trends in the E&P Industry: A Technology Survey","          150314-MS ","          SPE ","          Conference Paper",2012,"Bravo, Cesar E., Halliburton","'machine+learning'AND'production'"
"Spatial-Temporal Tensor Decompositions for Characterizing Control-Relevant Flow Profiles in Reservoir Models","          173238-MS ","          SPE ","          Conference Paper",2015,"Insuasty, E., Eindhoven University of Technology (EUT)","'machine+learning'AND'production'"
"An Experimental Study of Imbibition Oil Recovery from Oil-Wet Shales","          190044-MS ","          SPE ","          Conference Paper",2018,"Begum, M., University of Alberta","'machine+learning'AND'production'"
"Semiautomatic, Semantic Assistance to Manual Curation of Data in Smart Oil Fields","          153271-MS ","          SPE ","          Conference Paper",2012,"Chelmis, Charalampos, USC","'machine+learning'AND'production'"
"Future Workforce Education through Big Data Analysis for Drilling Optimization","          184739-MS ","          SPE ","          Conference Paper",2017,"Zhou, Y., The University of Texas at Austin","'machine+learning'AND'production'"
"Experimental Determination of the Phase Transition Point in Gas Condensates using a Cost-Effective Semiautomated Isochoric Apparatus","          190102-MS ","          SPE ","          Conference Paper",2018,"Salahshoor, Shadi, University of Oklahoma","'machine+learning'AND'production'"
"Probabilistic Performance Forecasting in History Matching of Low Permeability Reservoirs","          188100-MS ","          SPE ","          Conference Paper",2017,"Zhang, Xuejiao, China University of Petroleum","'machine+learning'AND'production'"
"Using Association Rule Mining and High-Dimensional Visualization to Explore the Impact of Geological Features on Dynamic Flow Behavior","          174774-MS ","          SPE ","          Conference Paper",2015,"Suzuki, Satomi, ExxonMobil Upstream Research Company","'machine+learning'AND'production'"
"Identification of the Compositional Path Followed During Reservoir Simulation Improves the Accuracy and Accelerates the Phase Behavior Calculations","          180124-MS ","          SPE ","          Conference Paper",2016,"Gaganis, Vassilis, Technical University of Crete","'machine+learning'AND'production'"
"Portfolio Optimization in High and Low Risk Environments","          159603-MS ","          SPE ","          Conference Paper",2012,"Rodriguez, Luis Carlos, Occidental Petroleum","'machine+learning'AND'production'"
"An Integrated System-Oriented Methodology for the Risk Analysis of Offshore Oil and Gas Drilling Industry: AcciMap and Bow-Tie United","          190059-MS ","          SPE ","          Conference Paper",2018,"Tabibzadeh, Maryam, California State University Northridge","'machine+learning'AND'production'"
"Rapid Data Integration and Analysis for Upstream Oil and Gas Applications","          174907-MS ","          SPE ","          Conference Paper",2015,"Cheung, Chung Ming, University of Southern California","'machine+learning'AND'production'"
"An Experimental Investigation of WAG Injection Performance under Near-Miscible Conditions in Carbonate Rock and Comparison with Sandstone","          190053-MS ","          SPE ","          Conference Paper",2018,"Alkhazmi, Bashir, Centre for Enhanced Oil Recovery and CO2 Solutions, Heriot-Watt University","'machine+learning'AND'production'"
"Health, Safety and Environmental Performance System","          183777-MS ","          SPE ","          Conference Paper",2017,"Otaibi, Mohammed S., Saudi Aramco","'machine+learning'AND'production'"
"Topological Data Analysis to Solve Big Data Problem in Reservoir Engineering: Application to Inverted 4D Seismic Data","          174985-MS ","          SPE ","          Conference Paper",2015,"Alfaleh, Abdulhamed, Saudi Aramco","'machine+learning'AND'production'"
"Modeling the Combined Effects of Water Salinity and Polymer Rheology on the Performance of Polymer Flooding and In-Depth Gel Treatment","          190046-MS ","          SPE ","          Conference Paper",2018,"Khamees, T. K., Missouri University of Science and Technology","'machine+learning'AND'production'"
